Estimation_point,Date,Year,Road_Segment_Type,Lat,Long,Proj Lat,Proj Long,Region,Day Volume,AADT,AAWDT,Tom Tom Day,Tom Tom AADT,Tom Tom AAWDT,Pen Rate Day,Pen Rate AADT,Pen Rate AAWDT,Road Class,Road Class FID,Speed,Speed Limit FID,Lanes,Lane Number FID,descriptio,Aggregate,CensusDivision,Population2021,PopPerSqKm2021,Employment_rate,Employment_Count,Removed?,Note
1189774,5/15/2024,2024,Midblock,53.514501,-113.528851,5931389.881,31251.1043,SW,1299.0,1135.364625,1203.664756,238.0,223.2978142,221.3358779,18.32%,19.67%,18.39%,Local,13988,40,2348,2,29624,Small Scale Residential,Residential,Division No. 11,451,2445.8,29.8,420.0,0,
1190357,5/17/2024,2024,Midblock,53.514199,-113.484385,5931376.694,34200.7353,SE,529.0,444.9774788,466.3373456,38.0,26.34972678,26.14122137,7.18%,5.92%,5.61%,Local,12286,40,6183,2,30750,Small Scale Residential,Residential,Division No. 11,1152,1963.9,65.6,1090.0,0,
1192089,5/23/2024,2024,Midblock,53.590715,-113.516557,5939876.769,32008.9871,NW,12446.0,11377.62242,11701.00607,1943.0,1795.311475,1859.496183,15.61%,15.78%,15.89%,Minor Arterial,22991,50,4603,3,19521,Urban Facilities,Others,Division No. 11,630,1988.0,46.5,505.0,0,
1192097,5/23/2024,2024,Midblock,53.595922,-113.516674,5940456.178,31997.3063,NW,16614.0,15187.83696,15619.51751,2540.0,2238.114754,2334.744275,15.29%,14.74%,14.95%,Minor Arterial,7847,50,7204,2,12787,Small Scale Residential,Residential,Division No. 11,445,2487.4,47.5,295.0,0,
1192106,5/23/2024,2024,Midblock,53.605947,-113.523282,5941568.863,31552.3727,NW,941.0,860.2235814,884.6735268,30.0,37.95355191,38.38931298,3.19%,4.41%,4.34%,Collector,3858,40,2501,2,30438,Parks and Services,Others,Division No. 11,858,3620.3,45.2,520.0,0,
1192109,5/23/2024,2024,Midblock,53.609756,-113.525549,5941991.746,31399.503,NW,1247.0,1139.956223,1172.356948,112.0,103.079235,106.5076336,8.98%,9.04%,9.08%,Collector,49890,30,6851,2,30109,Small-Medium Scale Transition Residential,Residential,Division No. 11,1260,3872.2,44.5,1000.0,0,
1192112,5/23/2024,2024,Midblock,53.592172,-113.527937,5940033.997,30938.6162,NW,5790.0,5292.980379,5443.421594,708.0,729.9453552,764.2328244,12.23%,13.79%,14.04%,Collector,3986,50,568,4,29441,Small Scale Residential,Residential,Division No. 11,531,2627.4,48.0,490.0,0,
1192116,5/23/2024,2024,Midblock,53.592192,-113.532707,5940065.088,29486.6257,NW,5906.0,5399.022818,5552.478055,710.0,729.7240437,763.8167939,12.02%,13.52%,13.76%,Collector,3988,50,568,4,29689,Small Scale Residential,Residential,Division No. 11,534,2880.3,48.1,530.0,0,
1192121,5/23/2024,2024,Midblock,53.592555,-113.554634,5933729.817,26337.091,NW,3175.0,2902.454698,2984.950529,263.0,276.1229508,289.5648855,8.28%,9.51%,9.70%,Collector,8496,40,571,2,29913,Neighbourhood Parks and Services,Residential,Division No. 11,650,2051.1,48.6,555.0,0,
1192125,5/23/2024,2024,Midblock,53.535796,-113.602737,5941745.821,29669.5061,NW,10648.0,9733.964606,10010.63094,1645.0,1341.595628,1442.450382,15.45%,13.78%,14.41%,Minor Arterial,7229,50,2029,3,13653,Small Scale Residential,Residential,Division No. 11,572,2152.8,69.0,500.0,0,
1192129,5/23/2024,2024,Midblock,53.607647,-113.551712,5940105.461,28597.5814,NW,3530.0,3226.981129,3318.700903,452.0,416.0218579,432.8358779,12.80%,12.89%,13.04%,Collector,3518,40,13971,2,14598,Small Scale Flex Residential,Residential,Division No. 11,3634,2733.6,63.8,2900.0,0,
1192137,5/23/2024,2024,Midblock,53.592967,-113.568058,5933260.619,26810.3384,NW,39722.0,36312.22221,37344.31651,8139.0,7195.258197,7552.70229,20.49%,19.81%,20.22%,Major Arterial,9203,60,7819,3,25162,Agriculture Zone,Agriculture,Division No. 11,5,2.7,,,0,
1192141,5/23/2024,2024,Midblock,53.531556,-113.595639,5933261.916,26527.5413,NW,9719.0,8884.710932,9137.239115,1653.0,1530.857923,1589.137405,17.01%,17.23%,17.39%,Collector,23804,50,12399,3,12884,Small Scale Residential,Residential,Division No. 11,506,2400.4,58.8,425.0,0,
1192144,5/23/2024,2024,Midblock,53.531582,-113.599904,5933261.657,25919.6616,NW,10087.0,9221.12143,9483.211334,1705.0,1579.825137,1643.423664,16.90%,17.13%,17.33%,Collector,20424,50,12399,3,12885,Small Scale Residential,Residential,Division No. 11,572,2152.8,69.0,500.0,0,
1192146,5/23/2024,2024,Midblock,53.53161,-113.609072,5933266.585,25680.8057,NW,18287.0,16717.2249,17192.3749,3254.0,2868.693989,3003.946565,17.79%,17.16%,17.47%,Collector,8650,50,10566,2,13559,Small Scale Residential,Residential,Division No. 11,576,2682.8,58.6,495.0,0,
1192150,5/23/2024,2024,Midblock,53.531666,-113.612674,5933327.833,36593.5192,NW,20631.0,18860.0135,19396.06752,3536.0,3139.846995,3296.564885,17.14%,16.65%,17.00%,Collector,5360,50,16184,2,23796,Small Scale Residential,Residential,Division No. 11,672,1880.8,66.2,355.0,0,
1195557,6/4/2024,2024,Midblock,53.53157,-113.448085,5933408.292,36347.9651,Downtown,3179.0,2929.231115,3054.942831,422.0,324.1857923,357.0267176,13.27%,11.07%,11.69%,Collector,11155,40,4835,2,8199,Parks and Services,Others,Division No. 11,470,1899.8,61.1,475.0,0,
1196123,6/4/2024,2024,Midblock,53.53231,-113.451779,5933161.992,38207.6979,Downtown,2256.0,2078.749731,2167.961946,177.0,175.2923497,179.1603053,7.85%,8.43%,8.26%,Collector,11151,40,2987,2,12933,Medium Scale Residential,Residential,Division No. 11,867,2962.1,46.5,645.0,0,
1195554,6/4/2024,2024,Midblock,53.529965,-113.423761,5933212.778,38005.3786,SE,2033.0,1858.462516,1947.672676,193.0,182.6639344,194.778626,9.49%,9.83%,10.00%,Collector,9598,50,5663,2,16521,Parks and Services,Others,Division No. 11,570,2300.2,64.3,490.0,0,
1196113,6/4/2024,2024,Midblock,53.530436,-113.426806,5933997.232,37471.8061,SE,674.0,616.1356301,645.7114528,64.0,51.7431694,55.75572519,9.50%,8.40%,8.63%,Local,7085,30,2426,2,588,Parks and Services,Others,Division No. 11,570,2300.2,64.3,490.0,0,
1196155,6/4/2024,2024,Midblock,53.537523,-113.434759,5932179.076,37737.1953,SE,24459.0,22359.14151,23432.42793,4806.0,4495.893443,4772.416031,19.65%,20.11%,20.37%,Minor Arterial,7116,60,1622,2,18904,Small Scale Residential,Residential,Division No. 11,484,2272.3,50.0,430.0,0,
1196302,6/4/2024,2024,Midblock,53.521167,-113.430975,5933344.778,37449.2005,SE,505.0,461.6446486,483.8045751,15.0,21.10655738,20.85877863,2.97%,4.57%,4.31%,Collector,9584,40,11302,2,106,Small Scale Residential,Residential,Division No. 11,490,1757.5,55.2,435.0,0,
1196312,6/4/2024,2024,Midblock,53.531662,-113.435178,5932522.628,37499.3552,SE,2942.0,2689.422884,2818.520911,360.0,285.726776,307.2977099,12.24%,10.62%,10.90%,Collector,9596,30,3963,2,12948,Parks and Services,Others,Division No. 11,630,2165.7,52.0,500.0,0,
1196730,6/4/2024,2024,Midblock,53.524271,-113.43452,5942129.687,35644.4764,SE,511.0,467.1295356,489.5527483,50.5,30.82786885,36.15267176,9.88%,6.60%,7.38%,Local,14419,30,1590,2,2038,Small Scale Residential,Residential,Division No. 11,347,2644.8,56.3,320.0,0,
1196681,6/6/2024,2024,Midblock,53.610724,-113.461394,5943467.138,35798.9692,NE,4020.0,3529.112078,3656.896368,614.0,587.6010929,592.0,15.27%,16.65%,16.19%,Collector,4222,40,4024,2,24902,Parks and Services,Others,Division No. 11,447,2679.9,50.0,390.0,0,
1196687,6/6/2024,2024,Midblock,53.622731,-113.458906,5943839.52,34759.5045,NE,1680.0,1474.852809,1528.255198,115.0,100.7459016,101.1641221,6.85%,6.83%,6.62%,Collector,23934,30,2135,2,12701,Small Scale Residential,Residential,Division No. 11,814,3611.4,53.7,810.0,0,
1196690,6/6/2024,2024,Midblock,53.626147,-113.474575,5944819.505,33851.9132,NE,3320.0,2914.590075,3020.123368,415.0,354.0327869,360.7748092,12.50%,12.15%,11.95%,Collector,22782,40,3962,2,23971,Parks and Services,Others,Division No. 11,838,2209.9,57.7,650.0,0,
1196792,6/6/2024,2024,Midblock,53.635012,-113.488187,5931561.646,28806.1973,NE,3424.0,3005.890487,3114.729642,384.0,354.0874317,358.221374,11.21%,11.78%,11.50%,Collector,4334,30,12416,2,21592,Small Scale Residential,Residential,Division No. 11,940,3066.9,54.9,810.0,0,
1196351,6/6/2024,2024,Midblock,53.516184,-113.565694,5932990.9,28802.923,NW,2339.0,2112.557227,2172.601976,287.0,240.602459,255.8129771,12.27%,11.39%,11.77%,Collector,9291,40,12073,4,22222,Parks and Services,Others,Division No. 11,492,3324.3,39.1,320.0,0,
1196674,6/6/2024,2024,Midblock,53.529027,-113.565612,5932124.9,28498.2177,NW,23983.0,21661.16288,22276.83335,4919.0,4452.174863,4550.580153,20.51%,20.55%,20.43%,Minor Arterial,22658,60,13503,4,16095,River Valley,Others,Division No. 11,641,1404.2,60.0,525.0,0,
1196689,6/6/2024,2024,Midblock,53.521262,-113.570286,5933479.775,26120.6182,NW,963.0,869.770248,894.4915362,117.0,85.54098361,94.73664122,12.15%,9.83%,10.59%,Collector,8734,30,863,2,17041,Small Scale Residential,Residential,Division No. 11,539,2409.5,63.4,505.0,0,
1196691,6/6/2024,2024,Midblock,53.53356,-113.606023,5944615.497,32733.4492,NW,1975.0,1783.796718,1834.49718,172.0,174.9972678,188.8931298,8.71%,9.81%,10.30%,Local,10442,40,12125,2,13847,Parks and Services,Others,Division No. 11,1020,3790.4,26.3,685.0,0,
1196695,6/6/2024,2024,Midblock,53.63325,-113.505118,5945340.361,32350.7022,NW,2920.0,2637.309579,2712.269248,291.0,231.0983607,236.148855,9.97%,8.76%,8.71%,Collector,9775,40,12236,2,8188,Parks and Services,Others,Division No. 11,859,2357.9,55.7,745.0,0,
1196701,6/6/2024,2024,Midblock,53.639787,-113.510829,5945222.645,33374.9335,NW,4941.0,4462.652955,4589.493957,806.0,692.4945355,688.8473282,16.31%,15.52%,15.01%,Collector,25257,50,15339,2,27926,Public Utility,Others,Division No. 11,1909,3524.1,56.1,1435.0,0,
1196718,6/6/2024,2024,Midblock,53.638665,-113.495355,5931275.151,26198.013,NW,10702.0,9665.920243,9940.652566,1802.0,1606.409836,1598.152672,16.84%,16.62%,16.08%,Collector,19266,50,1629,2,27924,Small-Medium Scale Transition Residential,Residential,Division No. 11,1909,3524.1,56.1,1435.0,0,
1196725,6/6/2024,2024,Midblock,53.513746,-113.60504,5932528.5,28546.5813,NW,605.0,546.4288682,561.9598956,54.0,42.79508197,48.13740458,8.93%,7.83%,8.57%,Local,1791,40,11571,2,27807,Parks and Services,Others,Division No. 11,704,2156.2,54.2,590.0,0,
1196732,6/6/2024,2024,Midblock,53.524886,-113.56952,5932720.359,26581.5103,NW,2357.0,2128.814615,2189.321444,360.0,281.6680328,302.3816794,15.27%,13.23%,13.81%,Collector,8744,30,9224,2,18216,Parks and Services,Others,Division No. 11,641,1404.2,60.0,525.0,0,
1196738,6/6/2024,2024,Midblock,53.526713,-113.599136,5941821.413,33303.0838,NW,1425.0,1287.043202,1323.624547,172.0,165.8579235,183.5801527,12.07%,12.89%,13.87%,Collector,9838,30,3897,2,28519,Neighbourhood Parks and Services,Residential,Division No. 11,742,2044.1,52.1,595.0,0,
1196798,6/6/2024,2024,Midblock,53.608108,-113.496805,5938758.234,40510.036,NW,1818.0,1641.996169,1688.666265,240.0,254.5464481,258.610687,13.20%,15.50%,15.31%,Collector,33278,40,6096,2,30468,Site Specific Development Control Provision,Direct Control Provisions,Division No. 11,573,1508.3,59.7,385.0,0,
1203975,6/25/2024,2024,Midblock,53.580077,-113.388315,5940532.023,30374.537,NE,4604.0,4187.941152,4339.580735,633.0,582.784153,588.9160305,13.75%,13.92%,13.57%,Collector,20331,30,7633,2,32213,Small Scale Residential,Residential,Division No. 11,593,2094.7,56.4,505.0,0,
1203948,6/25/2024,2024,Midblock,53.5967,-113.541178,5934405.816,37518.4152,NW,26565.0,25656.57622,26385.80743,4800.0,4471.885246,4516.919847,18.07%,17.43%,17.12%,Minor Arterial,7934,50,16806,3,23561,Neighbourhood Commercial,Commercial,Division No. 11,955,2731.7,34.4,755.0,0,
1203954,6/25/2024,2024,Midblock,53.541191,-113.434007,5923358.94,35447.3659,SE,12161.0,11116.95163,11650.58899,1764.0,1735.961749,1818.080153,14.51%,15.62%,15.61%,Minor Arterial,23290,50,10374,4,5548,Medium Scale Residential,Residential,Division No. 11,551,1942.9,54.5,330.0,0,
