filename,cluster
1123614.png,1
1123629.png,1
1123634.png,1
1123639.png,1
1123645.png,1
1123704.png,1
1125237.png,0
1125265.png,1
112711.png,2
1127352.png,1
1127371.png,0
112753.png,2
112755.png,2
112955.png,2
112957.png,2
1130705.png,0
113135.png,0
1131470.png,0
1139399.png,0
1139400.png,0
1139402.png,2
1139461.png,2
1182163.png,2
1182165.png,0
1182169.png,0
1182215.png,0
1182217.png,2
1182218.png,0
1182219.png,0
1182226.png,0
1182228.png,0
1182231.png,2
1182236.png,0
1182239.png,1
1182240.png,0
1182242.png,0
1182854.png,0
1182881.png,2
1182886.png,0
1182888.png,0
1182892.png,2
1182894.png,0
1182904.png,2
1182907.png,2
1183203.png,2
1183206.png,2
1183222.png,0
1183231.png,0
1183241.png,0
1185299.png,0
1185301.png,0
1185304.png,0
1185316.png,1
1185318.png,2
1185322.png,1
1185323.png,1
1185328.png,2
1185336.png,1
1185341.png,1
1185344.png,1
1189766.png,0
1189774.png,0
1190357.png,0
1190989.png,2
1190990.png,0
1190992.png,0
1190995.png,2
1190999.png,0
1191002.png,1
1191006.png,2
1191008.png,0
1192089.png,2
1192097.png,0
1192106.png,0
1192109.png,0
1192112.png,0
1192116.png,0
1192121.png,0
1192125.png,0
1192129.png,0
1192137.png,2
1192141.png,0
1192144.png,0
1192146.png,0
1193606.png,2
1195554.png,0
1195557.png,0
1196113.png,0
1196123.png,0
1196155.png,0
1196302.png,0
1196312.png,0
1196351.png,2
1196674.png,1
1196681.png,0
1196687.png,0
1196689.png,0
1196690.png,0
1196691.png,0
1196695.png,0
1196701.png,0
1196718.png,0
1196725.png,0
1196730.png,2
1196732.png,0
1196738.png,0
1196792.png,0
1196798.png,0
1199193.png,2
1203948.png,2
1203954.png,0
1203975.png,0
1204672.png,1
1205582.png,0
1205585.png,1
1205595.png,1
1205704.png,1
1205716.png,1
1205778.png,1
1205804.png,1
1205810.png,1
1205816.png,1
1205826.png,1
1206012.png,1
1206020.png,0
1206161.png,1
1206797.png,1
1207693.png,1
1209170.png,1
1209177.png,1
1209184.png,1
1209188.png,2
1209189.png,1
1209203.png,1
1209205.png,1
1209258.png,1
1209952.png,1
1209953.png,2
1210253.png,1
1210279.png,1
1210547.png,1
1219543.png,1
1222464.png,2
1222485.png,0
1222500.png,0
1222575.png,0
1222583.png,2
1222600.png,0
1222626.png,0
1222668.png,0
1222692.png,0
1222694.png,2
1222711.png,0
1223038.png,0
1223047.png,0
1225086.png,0
1225094.png,0
1225107.png,0
1225174.png,0
1225190.png,2
1225195.png,0
1225207.png,0
1225230.png,2
1225242.png,0
1225249.png,2
1225258.png,0
1225267.png,0
1225599.png,2
1225607.png,0
1225672.png,2
1225795.png,2
1228018.png,0
1228135.png,0
1228155.png,0
1228179.png,0
1228184.png,1
1228189.png,0
1228192.png,0
1228203.png,0
1228241.png,1
1228263.png,1
1228288.png,0
1228299.png,0
1228311.png,0
1228324.png,0
1228773.png,2
1228783.png,0
1228798.png,2
1228813.png,2
1228822.png,0
1228828.png,0
1228835.png,0
1228852.png,0
1228857.png,2
1228863.png,0
1228864.png,0
1228868.png,0
1228882.png,0
1228894.png,0
1228903.png,0
1228910.png,0
1228917.png,0
1228927.png,0
1228935.png,0
1228937.png,0
1228939.png,0
1230808.png,0
1231061.png,0
1232980.png,0
1232992.png,1
1232995.png,0
1232998.png,0
1233000.png,0
1234738.png,0
1234755.png,0
1236126.png,0
1236139.png,0
1236146.png,0
1236626.png,0
1236637.png,0
1238619.png,2
1238623.png,0
1238691.png,0
1239430.png,2
1239495.png,0
1239916.png,2
1240809.png,0
1241098.png,0
1241551.png,2
1241567.png,0
1241574.png,0
1241584.png,0
1241595.png,0
1241604.png,2
1241612.png,1
1241618.png,1
1241638.png,1
1243145.png,0
1243276.png,0
1243600.png,0
1243608.png,2
1246225.png,0
1246229.png,1
1250674.png,0
1250695.png,0
1250707.png,0
1250799.png,0
1250996.png,1
1253677.png,1
1253690.png,2
1255295.png,0
1258400.png,0
1258407.png,0
200116.png,0
203096.png,0
203896.png,0
204680.png,2
204704.png,2
204712.png,0
204736.png,1
204740.png,1
204748.png,1
204752.png,1
204760.png,0
205438.png,0
207232.png,2
207256.png,2
207304.png,1
207316.png,0
208338.png,2
208342.png,0
208516.png,2
208690.png,0
208882.png,0
208886.png,0
213354.png,2
213364.png,0
213388.png,2
213400.png,0
213412.png,2
213424.png,2
213436.png,1
213448.png,2
213460.png,0
217930.png,0
218026.png,0
218038.png,0
218590.png,0
220120.png,0
228466.png,0
229990.png,2
230002.png,2
230458.png,0
230482.png,0
230566.png,0
230812.png,2
233926.png,0
235864.png,0
235876.png,0
237892.png,2
238006.png,1
250853.png,0
250859.png,0
251411.png,0
251417.png,0
253249.png,1
253250.png,2
253253.png,2
253307.png,1
253313.png,0
253325.png,2
253331.png,2
254513.png,0
254735.png,2
254885.png,0
254909.png,0
254915.png,2
256217.png,0
256223.png,0
257201.png,1
258737.png,0
258749.png,1
258767.png,1
258959.png,2
258983.png,0
259535.png,1
261923.png,0
262075.png,0
263033.png,1
263525.png,0
263531.png,0
263795.png,2
264311.png,0
264575.png,0
264581.png,0
300796.png,0
302252.png,2
302294.png,2
302300.png,2
304956.png,2
305784.png,2
305816.png,0
305824.png,0
308192.png,2
308916.png,2
308924.png,2
311160.png,0
313512.png,2
315656.png,0
316650.png,0
316652.png,2
316724.png,2
316732.png,2
317208.png,2
317908.png,2
317948.png,2
317956.png,2
317964.png,2
317972.png,1
318006.png,1
318012.png,1
319454.png,2
319460.png,2
330089.png,0
330349.png,0
330453.png,2
330639.png,2
331929.png,0
331977.png,1
333081.png,1
333785.png,2
333825.png,0
333885.png,0
334861.png,2
336069.png,2
336073.png,2
336117.png,2
336149.png,2
336513.png,0
336517.png,0
336521.png,0
336525.png,0
336801.png,0
336929.png,2
336937.png,1
338181.png,1
400024.png,1
401376.png,2
401384.png,2
401440.png,2
404264.png,0
404320.png,2
407396.png,1
407404.png,1
407410.png,2
407556.png,2
407628.png,2
407636.png,2
408144.png,0
409880.png,1
409888.png,2
410112.png,0
414284.png,2
414292.png,0
414316.png,0
414348.png,0
414356.png,0
414388.png,2
414396.png,2
417904.png,2
420280.png,0
420320.png,2
420384.png,2
420392.png,0
420429.png,2
420431.png,2
421800.png,2
433265.png,2
433949.png,1
434341.png,2
434345.png,1
434373.png,0
434377.png,0
435005.png,0
435163.png,1
435729.png,2
435737.png,2
436681.png,0
438941.png,2
438977.png,0
438981.png,0
440765.png,0
441229.png,2
441237.png,2
441277.png,2
441285.png,1
441301.png,1
441305.png,1
443765.png,0
444201.png,0
444749.png,2
444753.png,0
444757.png,2
444761.png,2
444785.png,0
444801.png,0
444929.png,0
500092.png,1
500136.png,1
501880.png,0
501888.png,0
503236.png,2
503632.png,2
503640.png,0
504768.png,2
505840.png,0
508336.png,0
508368.png,0
508456.png,0
510258.png,2
510264.png,2
510288.png,0
510296.png,2
510698.png,0
511354.png,2
511360.png,2
512004.png,2
512012.png,0
512952.png,0
514280.png,0
514292.png,0
514704.png,0
514712.png,0
515176.png,0
515348.png,0
515960.png,2
517564.png,0
518876.png,2
520760.png,2
520996.png,0
521012.png,0
522192.png,2
525136.png,0
526172.png,2
526180.png,0
526600.png,0
527036.png,0
527388.png,2
527420.png,0
527428.png,0
527756.png,1
530695.png,1
530699.png,0
530735.png,1
530739.png,0
530743.png,0
530747.png,2
530755.png,1
530783.png,2
530787.png,2
532439.png,0
532443.png,0
534721.png,1
534747.png,1
534751.png,1
534787.png,0
534939.png,0
534943.png,0
534947.png,0
536723.png,0
536727.png,0
536743.png,0
536747.png,0
536763.png,0
536767.png,0
536771.png,0
538679.png,0
538723.png,0
538735.png,0
538739.png,0
539279.png,2
539283.png,2
539423.png,0
540479.png,2
540495.png,1
540499.png,1
540511.png,1
540515.png,1
540731.png,0
541155.png,0
541239.png,2
541253.png,2
541255.png,2
541299.png,2
541303.png,2
541763.png,2
600025.png,1
959988.png,0
960019.png,2
960032.png,0
960049.png,0
960451.png,0
960493.png,0
960497.png,0
962850.png,0
963182.png,0
963184.png,0
963321.png,0
965314.png,0
965491.png,0
966615.png,2
966715.png,0
967565.png,0
